SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	Pf3D7_11_v3-1294664-1294910-1A	151	145	145
DC3-1_S43_L001	Pf3D7_11_v3-1295103-1295335-1A	203	199	199
DC3-1_S43_L001	Pf3D7_11_v3-1295371-1295597-1A	292	289	289
DC3-1_S43_L001	Pf3D7_11_v3-1374917-1375148-1A	132	128	128
DC3-1_S43_L001	Pf3D7_11_v3-1375807-1376056-1A	46	45	45
DC3-1_S43_L001	Pf3D7_11_v3-1376058-1376305-1A	112	110	110
DC3-1_S43_L001	Pf3D7_11_v3-1816152-1816378-1A	230	230	230
DC3-1_S43_L001	Pf3D7_11_v3-1934962-1935236-1A	2	2	2
DC3-1_S43_L001	Pf3D7_12_v3-63081-63314-1A	123	122	122
DC3-1_S43_L001	Pf3D7_12_v3-233418-233671-1A	71	70	70
DC3-1_S43_L001	Pf3D7_12_v3-529495-529767-1A	61	61	61
DC3-1_S43_L001	Pf3D7_12_v3-659881-660127-1A	114	111	111
DC3-1_S43_L001	Pf3D7_12_v3-684011-684240-1A	133	131	131
DC3-1_S43_L001	Pf3D7_12_v3-857050-857323-1A	60	60	60
DC3-1_S43_L001	Pf3D7_12_v3-1959644-1959891-1A	109	102	102
DC3-1_S43_L001	Pf3D7_13_v3-146695-146934-1A	167	162	162
DC3-1_S43_L001	Pf3D7_13_v3-156456-156685-1A	54	52	52
DC3-1_S43_L001	Pf3D7_13_v3-156713-156986-1A	54	53	53
DC3-1_S43_L001	Pf3D7_13_v3-388138-388408-1A	74	74	74
DC3-1_S43_L001	Pf3D7_13_v3-479569-479811-1A	137	137	137
DC3-1_S43_L001	Pf3D7_13_v3-815862-816091-1A	64	63	63
DC3-1_S43_L001	Pf3D7_13_v3-852647-852921-1A	34	33	33
DC3-1_S43_L001	Pf3D7_13_v3-911757-912005-1A	115	114	114
DC3-1_S43_L001	Pf3D7_13_v3-935613-935884-1A	70	69	69
DC3-1_S43_L001	Pf3D7_13_v3-1004740-1005002-1A	8	8	8
DC3-1_S43_L001	Pf3D7_13_v3-1146764-1147010-1A	175	173	173
DC3-1_S43_L001	Pf3D7_13_v3-1233093-1233332-1A	122	122	122
DC3-1_S43_L001	Pf3D7_13_v3-1265494-1265726-1A	155	151	151
DC3-1_S43_L001	Pf3D7_13_v3-1350855-1351093-1A	104	104	104
