SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
Dd2-11_S35_L001	Pf3D7_08_v3-1386795-1387043-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-1294284-1294580-1B	663	641	0
Dd2-11_S35_L001	Pf3D7_11_v3-1902034-1902278-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-1950401-1950636-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-1968031-1968273-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-2001721-2001954-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-2001969-2002222-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_13_v3-1465010-1465307-1B	927	883	0
Dd2-11_S35_L001	Pf3D7_13_v3-2770621-2770854-1B	2557	2466	2466
Dd2-11_S35_L001	Pf3D7_13_v3-2780346-2780575-1B	834	796	796
Dd2-11_S35_L001	Pf3D7_13_v3-2814606-2814855-1B	7167	6893	6893
Dd2-11_S35_L001	Pf3D7_13_v3-2816310-2816554-1B	8908	8597	8597
Dd2-11_S35_L001	Pf3D7_13_v3-2840462-2840736-1B	236	225	225
Dd2-11_S35_L001	Pf3D7_13_v3-2841390-2841688-1B2	494	473	0
Dd2-11_S35_L001	Pf3D7_13_v3-2844334-2844629-1B2	1879	1816	0
Dd2-11_S35_L001	Pf3D7_14_v3-854128-854427-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_03_v3-221185-221419-1B	1356	1308	1308
Dd2-11_S35_L001	Pf3D7_03_v3-221463-221712-1B	1580	1516	1516
Dd2-11_S35_L001	Pf3D7_03_v3-980765-980997-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_03_v3-981574-981823-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_03_v3-981921-982191-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_03_v3-982299-982523-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_04_v3-1077327-1077562-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_04_v3-1082776-1083049-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_04_v3-1083095-1083331-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_04_v3-1083411-1083668-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-860289-860542-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-860834-861066-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_01_v3-194742-194973-1B	4464	4308	4308
Dd2-11_S35_L001	Pf3D7_04_v3-748105-748359-1B	1603	1540	1540
Dd2-11_S35_L001	Pf3D7_04_v3-748374-748611-1B	1347	1300	1300
Dd2-11_S35_L001	Pf3D7_05_v3-958079-958350-1B	2805	2709	2709
Dd2-11_S35_L001	Pf3D7_05_v3-958372-958608-1B	5278	5080	5080
Dd2-11_S35_L001	Pf3D7_05_v3-958920-959168-1B	4574	4413	4413
Dd2-11_S35_L001	Pf3D7_05_v3-960810-961048-1B	7650	7368	7368
Dd2-11_S35_L001	Pf3D7_05_v3-961511-961758-1B	6527	6278	6278
Dd2-11_S35_L001	Pf3D7_06_v3-1214815-1215069-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_06_v3-1215236-1215502-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_06_v3-1215495-1215756-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_07_v3-403479-403716-1B	2340	2259	2259
Dd2-11_S35_L001	Pf3D7_07_v3-403801-404052-1B	385	369	369
Dd2-11_S35_L001	Pf3D7_07_v3-404325-404590-1B	117	76	76
Dd2-11_S35_L001	Pf3D7_07_v3-404776-405006-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_07_v3-405334-405576-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_07_v3-405570-405844-1B	414	400	400
Dd2-11_S35_L001	Pf3D7_07_v3-896613-896849-1B	1409	1356	1356
Dd2-11_S35_L001	Pf3D7_08_v3-549583-549807-1B	3139	3030	3030
Dd2-11_S35_L001	Pf3D7_08_v3-549960-550215-1B	1407	1368	1368
Dd2-11_S35_L001	Pf3D7_10_v3-490605-490877-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_12_v3-2092529-2092798-1B	2104	2037	2037
Dd2-11_S35_L001	Pf3D7_13_v3-748254-748510-1B	722	703	703
Dd2-11_S35_L001	Pf3D7_13_v3-958247-958510-1B	1251	1203	1203
Dd2-11_S35_L001	Pf3D7_13_v3-1724895-1725166-1B	888	855	855
Dd2-11_S35_L001	Pf3D7_13_v3-1725208-1725471-1B	1066	1027	1027
Dd2-11_S35_L001	Pf3D7_13_v3-1725464-1725719-1B	1895	1833	1833
Dd2-11_S35_L001	Pf3D7_13_v3-1725713-1725955-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_13_v3-1726057-1726304-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_13_v3-1726723-1726995-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_13_v3-2504481-2504734-1B	1215	1171	1171
Dd2-11_S35_L001	Pf3D7_14_v3-283350-283576-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-283973-284211-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-288429-288696-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-289301-289550-1B	0	0	0
